ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Box Truss,Truss - Box.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Circle Truss,Truss - Circle.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Truss Cover - Black,Truss - Cover Black.jpeg,-,Black,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Truss Cover - White,Truss - Cover White.jpeg,-,White,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Cube Truss,Truss - Cube.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Goal Post Truss,Truss - Goal Post.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Illuminated Truss,Truss - Illuminated.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Rectabgle Truss,Truss - Rectangle.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Suspended Truss,Truss - Suspended.png,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
Tower Truss,Truss - Tower.png,-,-,-,-,"Corporate, Gala, Wedding, Social, Concert, Outdoor, Festival"
